u(m/s),T(K),rho(kg/m3),pressure,H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,CN,HCN,H2CN,HCNN,HCNO,HOCN,HNCO,NCO,N2,AR,C3H7,C3H8,CH2CHO,CH3CHO
0.9033124087874136,300.0,0.08189024561896281,101325.0,0.08331891594793903,0.02574718661486388,0.003283308963459109,0.16676986296140164,0.0068738077724256035,0.18485706886950687,8.136777550605225e-05,1.709961574106474e-05,1.3821119851561071e-05,1.1008793423830988e-05,4.598564190954622e-05,8.092909294244226e-06,0.003418863208949674,0.08337592754250261,0.05850697387820983,0.04127074985628357,8.741057979627465e-05,0.0007033877274537492,5.050338553910632e-06,6.9737699941604766e-06,6.875626984770255e-05,2.007203445109002e-07,0.00014827653910435884,1.1779456581749471e-05,0.0003268345506315613,1.346841861545459e-05,0.000643244640363035,4.038406078003549e-06,4.0683395285063535e-05,1.1481455719419365e-07,1.8430636818300125e-07,2.7114596821001066e-08,9.2812975789787e-09,9.92516620582344e-09,2.7252292543800296e-09,1.1699505648271346e-05,1.3447487384596008e-09,3.0390606383677154e-09,1.7185509388813626e-09,1.0163075793557195e-08,3.546363012634388e-06,7.436285211837418e-09,1.6140188536408355e-09,6.001807509281223e-09,1.4262710779328896e-09,8.267194468757247e-08,1.6808555070330008e-08,0.6675425786889796,5.332120912812828e-14,6.154605927259583e-08,2.4610338109467582e-06,1.7217230827524419e-06,1.0952896700181274e-05
1.1353359014347888,350.0,0.0701911779208217,101325.0,0.08332544838060181,0.02660134734731008,0.003555368127762821,0.16674016890029142,0.007346122719334488,0.18368031024094367,8.083469115506723e-05,1.017511872653584e-05,1.4925967803012085e-05,1.2018157281874288e-05,4.982546122830462e-05,9.046793652928985e-06,0.0036218555843599907,0.08336562218663514,0.05908422004372658,0.04059504225483458,9.399456626057876e-05,0.0007369860571845982,5.517302629914865e-06,7.514363824671996e-06,6.098945310563326e-05,2.3717224248009659e-07,0.00015818166859856954,1.2980165487248614e-05,0.0003424279475692607,1.4519247279749787e-05,0.0006662078013916242,4.506122162392942e-06,4.3854618115207785e-05,1.3092711475885082e-07,2.0249058451279786e-07,3.0256685076005384e-08,1.0065946429282988e-08,1.0247428335596604e-08,2.8579574703645915e-09,1.2323847596291006e-05,6.015929332180318e-10,3.1341075613096696e-09,1.9192100996698136e-09,1.151570284986502e-08,3.72456059594591e-06,8.224989359462589e-09,1.6132405393430346e-09,6.414096298908224e-09,1.6054409986026044e-09,8.736159310365426e-08,1.90183858895835e-08,0.6673162827729969,3.012162465677119e-14,6.590510219867638e-08,2.572339214891397e-06,1.8340970721325089e-06,1.1711420534809595e-05
1.3933154936394103,400.0,0.06141726097423957,101325.0,0.08332576484058964,0.02742231007877732,0.003833481955684039,0.16671291994791562,0.007832290801926418,0.1825070217531428,8.558381519165445e-05,5.865898126239524e-06,1.612501044669409e-05,1.311383437686152e-05,5.398445162014757e-05,1.0091141142511084e-05,0.003839316829816067,0.08335561446678866,0.059621483077607576,0.039897294016313374,0.00010079311112786884,0.0007721032062146307,6.029235568752543e-06,8.102310357306345e-06,5.172538223303846e-05,2.807523489690872e-07,0.00016909666779438282,1.43051940870922e-05,0.00035923723875407363,1.57253214359166e-05,0.0006915521051550829,5.035218966760272e-06,4.733094214627468e-05,1.4969990806497916e-07,2.233648629391501e-07,3.391590013984024e-08,1.1022835339114983e-08,1.0708548426883095e-08,2.9907867118398877e-09,1.3045105275180908e-05,4.926172156710592e-10,3.230607635425549e-09,2.1563459518779807e-09,1.3117763205074829e-08,3.9320257464165325e-06,9.114358806449231e-09,1.609773787161606e-09,6.90813793075879e-09,1.8169815743040182e-09,9.323046826678932e-08,2.1608249699099024e-08,0.6671261759854094,1.7589854561725369e-13,7.093305187683076e-08,2.7051542702113376e-06,1.952254904139664e-06,1.2563344116331504e-05
1.6830617645177124,450.0,0.05459306750944919,101325.0,0.08332673262361541,0.028220926574371464,0.004123016469124729,0.16669023227014898,0.008333888373998398,0.18131938493150734,9.062504212728145e-05,3.3103879529788173e-06,1.7395472959972824e-05,1.4279378920874344e-05,5.851792704038265e-05,1.1249072001045088e-05,0.004068019842914768,0.08334655813302842,0.06013844853154774,0.03920549421700633,0.00010791673976565848,0.0008085247300727856,6.580371796137941e-06,8.762422918805423e-06,4.232287097647975e-05,3.3249497818781096e-07,0.00018094538992518468,1.5798653409913738e-05,0.00037690895843005387,1.7077634117760775e-05,0.0007201556157026345,5.630292611209187e-06,5.116615711935571e-05,1.7129295044824158e-07,2.46503182903298e-07,3.8050088944721735e-08,1.2099995938185462e-08,1.123247035999662e-08,3.1240730758844936e-09,1.3812109994778e-05,5.031696046089597e-10,3.3334502492369805e-09,2.424839102722537e-09,1.4950960765399098e-08,4.1527702864554855e-06,1.0084433259808213e-08,1.6026064491801433e-09,7.439155076933455e-09,2.0571736655724106e-09,9.978102977516043e-08,2.457237243325556e-08,0.6669649109010684,7.019951681139117e-14,7.671171347151887e-08,2.8648810507076977e-06,2.0773298690395956e-06,1.3510495767055726e-05
1.9982856406908376,500.0,0.04913368704215886,101325.0,0.08332821827332801,0.02897611710535484,0.0044081084085017385,0.16667552918524392,0.00883392081208004,0.18012066501758736,9.58715308729225e-05,1.8703869697526383e-06,1.8751421318249867e-05,1.552259222041561e-05,6.327977164169695e-05,1.2478059359940645e-05,0.0043063178693611825,0.08333973627900751,0.06062657790690131,0.03851860720778948,0.00011517650329064859,0.0008457047186675635,7.171126795721679e-06,9.478078178278783e-06,3.7410149045825645e-05,3.9247434187555545e-07,0.00019351417003136002,1.7386132257200945e-05,0.0003954859710370356,1.8577528649358245e-05,0.0007497764943445424,6.2854455204626375e-06,5.5261116043906016e-05,1.9602466449842892e-07,2.724602795718286e-07,4.274108520389052e-08,1.3369383297103619e-08,1.1899334742489972e-08,3.2549966122046097e-09,1.4680039422665075e-05,5.177272209250694e-10,3.435972419589928e-09,2.7338430685030144e-09,1.708241828342281e-08,4.399716798068067e-06,1.1178492612687851e-08,1.5929802381658414e-09,8.059740624521376e-09,2.333444194798817e-09,1.0755362279864233e-07,2.7949116716899293e-08,0.6668394730672705,3.4484161405042295e-14,8.315590221517361e-08,3.044934439292453e-06,2.2059710224218023e-06,1.4543297733295066e-05
2.35534446540893,550.0,0.04466689398278243,101325.0,0.08333030149161029,0.029747983270258536,0.0047198137619615145,0.1666684028541434,0.009371867563330923,0.17890674890598618,0.00010154039504456048,1.0170520550146185e-06,2.0186466959633412e-05,1.687566783100688e-05,6.854095776636327e-05,1.3856998874630994e-05,0.004563259943085496,0.08333519890396278,0.06110128344811886,0.037813318343949666,0.00012297706066454882,0.0008852493140893889,7.822196691288586e-06,1.0276516729639992e-05,3.5523141952448214e-05,4.649294967967343e-07,0.00020727269593837926,1.9179085455820636e-05,0.0004152133697142815,2.0298278324431977e-05,0.0007837815922279505,7.033459397420607e-06,5.979802082882375e-05,2.247741080645217e-07,3.01495271263694e-07,4.81587928204944e-08,1.4836184797456414e-08,1.2663213522479342e-08,3.3915101433913737e-09,1.5627839116165042e-05,5.32036936446504e-10,3.5543787180055968e-09,3.0929593874372667e-09,1.958052072444422e-08,4.671883232536374e-06,1.2393093958000294e-08,1.5808293284970527e-09,8.73269251624299e-09,2.656101293453487e-09,1.1639645183451266e-07,3.19054321485982e-08,0.6667375454175327,3.8391539346079053e-13,9.060966353528218e-08,3.2623017766853214e-06,2.343225089413885e-06,1.5708641454554688e-05
2.747262490280059,600.0,0.040944607585159186,101325.0,0.08333129700633643,0.030471100050310344,0.005028458940968077,0.1666668455626959,0.009917150130595548,0.17771958901130694,0.00010758357649852768,1.0240642414258906e-06,2.1734936265802367e-05,1.83437897184287e-05,7.42017050482956e-05,1.5355438366017078e-05,0.0048364588086274255,0.08333347547266283,0.06154999623623885,0.037101504320904234,0.00013102954603514192,0.0009266924794844514,8.540551462006052e-06,1.1190816835578253e-05,3.532148362827158e-05,5.515355319968266e-07,0.0002228347407733875,2.118195745987066e-05,0.0004368864470082653,2.234963608962536e-05,0.0008264750297532845,7.896201513907014e-06,6.486485859620121e-05,2.589116074543733e-07,3.3488971254338415e-07,5.438959146722116e-08,1.657176900886917e-08,1.3594427385844129e-08,3.5259545110439866e-09,1.6695487030009253e-05,5.490659501651681e-10,3.6805598278859375e-09,3.5110043402576253e-09,2.2509733404666697e-08,4.974242850741717e-06,1.375966472224338e-08,1.5651158910206509e-09,9.508105283719142e-09,3.0326058983736093e-09,1.2685066839391928e-07,3.6490566173898736e-08,0.6666809245228007,1.1066852307936033e-13,1.0016886401177844e-07,3.5589249026121933e-06,2.490576290802061e-06,1.7092192923694664e-05
3.1815506351354235,650.0,0.03779493198680603,101325.0,0.08390925876116982,0.031173249956412845,0.005341614067076316,0.16666629950567013,0.010477162508569544,0.17652963712315142,0.00011397761990197893,1.0962635494638598e-06,2.3376393797279333e-05,1.9916794953211342e-05,8.031601973902607e-05,1.6983527273237e-05,0.005125320409590746,0.08333315837742662,0.061978265510061074,0.03638115819514666,0.0001393520296406272,0.0009700669153360637,9.315631763293946e-06,1.2205458301792132e-05,3.607088440694346e-05,6.554145680868444e-07,0.0002398488061644877,2.3388470919121563e-05,0.00046068398251016164,2.475700402174295e-05,0.0008783638595413237,8.871791108466078e-06,7.053204786881339e-05,2.9867743660988213e-07,3.725253037929073e-07,6.157895581902258e-08,1.8608301442753188e-08,1.4707370738694999e-08,3.661066121060294e-09,1.7890336939905982e-05,5.680574326358215e-10,3.820092377129638e-09,3.9970087782579866e-09,2.5960572483104265e-08,5.310174786491272e-06,1.52855020947332e-08,1.5467886706798309e-09,1.0383020873240463e-08,3.470939643696593e-09,1.3894674414410373e-07,4.1818661142270645e-08,0.6666662774526219,5.917780004864586e-14,1.1190638583859296e-07,3.949784747352681e-06,2.648339648147866e-06,1.8692279800522642e-05
3.644906842250532,700.0,0.03509511393834527,101325.0,0.08483976161617335,0.03183855587837115,0.00564426933649134,0.16666484557471492,0.011025427121134985,0.17528499483645846,0.00012046268671713994,1.1818572616233575e-06,2.5083359048446865e-05,2.1545202551342528e-05,8.675046107982575e-05,1.8681851335555372e-05,0.005416549164576186,0.08333214249167326,0.06239604706459634,0.035683609262466685,0.00014761604625814355,0.0010130513456863238,1.0120250681902538e-05,1.3276717422504365e-05,3.727629846117816e-05,7.742389099251307e-07,0.0002581737982427792,2.5776052209853955e-05,0.00048502281779426296,2.7323139693563448e-05,0.0009288729594694381,9.937972487385493e-06,7.649626523748937e-05,3.431413830613169e-07,4.138473892327379e-07,6.960181814581895e-08,2.0936657485898128e-08,1.599409833716484e-08,3.793576218459416e-09,1.921381895800158e-05,5.898361910490343e-10,3.969514523055143e-09,4.541685727162339e-09,2.9873986571926416e-08,5.673604967134984e-06,1.6939135144294568e-08,1.5273516908447946e-09,1.1372299989480908e-08,3.964510790548918e-09,1.5271298165086793e-07,4.779451424129296e-08,0.6666624921883499,2.386182393941753e-13,1.2435397812470054e-07,4.3678654866943964e-06,2.808796821254529e-06,2.036284040284804e-05
4.157753785994628,750.0,0.03275530409511189,101325.0,0.0857764007622027,0.03246599643514827,0.00595751440472853,0.16666413587669573,0.011600052695047585,0.1740432520127858,0.00012743734990500622,1.2879787350210511e-06,2.693038743268609e-05,2.332592367963548e-05,9.373890091436952e-05,2.0549602400899745e-05,0.005729697504522575,0.08333146927019157,0.06278937736689158,0.03499362334754772,0.00015627022016652216,0.001059196151323136,1.100722456767212e-05,1.4479152381449774e-05,3.903226051369754e-05,9.183994363067295e-07,0.00027870349988988284,2.8475267549639887e-05,0.0005126013022085182,3.0387626080870465e-05,0.0009885884369037158,1.1173321508875227e-05,8.328312116157599e-05,3.9627227398529956e-07,4.6128022500961677e-07,7.897636146814161e-08,2.369828153086709e-08,1.7511869908419036e-08,3.925541914297691e-09,2.0713033439994266e-05,6.132091466174569e-10,4.147706176921942e-09,5.184500792971369e-09,3.4515751864392986e-08,6.077237163738964e-06,1.880179592015569e-08,1.504929609219154e-09,1.2499022519172328e-08,4.547857083346096e-09,1.6878887701021301e-07,5.483943916751282e-08,0.6666595197700269,2.5111962586815985e-14,1.400671132209853e-07,4.916426153144655e-06,2.984419429899275e-06,2.2344509714368452e-05
