u(m/s),T(K),rho(kg/m3),pressure,H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,CN,HCN,H2CN,HCNN,HCNO,HOCN,HNCO,NCO,N2,AR,C3H7,C3H8,CH2CHO,CH3CHO
0.205844218922625,300.0,0.08188989248003369,101325.0,0.3425741203248514,0.0014019460631873855,2.063926546643081e-05,0.16677643002767426,5.414579663124562e-05,0.21571728318263264,4.287354522691656e-05,7.961512437296076e-06,3.9293267605786134e-08,1.3870109863621746e-07,1.0436882447368922e-05,4.577614769361127e-07,0.0037206858893324866,0.1667687880370987,0.0769264596238577,0.011260723633344641,5.577140160508222e-06,0.000584574815439189,1.0581698843541105e-06,2.2286813419858205e-06,0.0003486998283475137,3.15079392018194e-07,0.02258269352897947,2.2595328698388064e-05,0.0036900262416072,3.9821401477321816e-05,0.002120585865307002,1.3781918490986819e-05,0.0004981156436401797,2.926078530305229e-06,8.420091576132021e-10,3.728682056162818e-10,1.236216886541635e-09,2.0094893859733038e-07,8.944350935190465e-11,5.766153496374582e-08,4.761876542107568e-10,5.413221870621167e-10,4.324045283176893e-11,3.6546792201608965e-11,1.4986477302651466e-06,5.592620679677603e-11,2.7574990262151453e-11,6.938802735864516e-10,7.260583820952079e-11,8.462897769042188e-09,5.6923579058885146e-11,0.3340053283129016,2.2859230693467285e-14,7.958572828976719e-08,3.8316330795672433e-05,1.0777695275289308e-06,1.4848646364013235e-05
0.27616062172166417,350.0,0.07019115134448854,101325.0,0.3465389321637581,0.0016569718887833116,2.44720067318728e-05,0.16675253151022654,6.701171077471172e-05,0.21463789003380493,4.471801015010336e-05,7.2043179952439175e-06,6.740721924905203e-08,2.0810550158626272e-07,1.3439751666006576e-05,6.371840254911693e-07,0.004231974984164971,0.1667452472689462,0.07756730853961631,0.01124941076384304,6.722188982723297e-06,0.0006056850843027254,1.241759457963998e-06,2.5408568592209998e-06,0.00033593110886160764,4.3280467221007663e-07,0.023114522204271543,2.6165506701933217e-05,0.0036676697728237366,4.493529349102976e-05,0.0021977628984077755,1.5733002238259186e-05,0.0005016195211439587,3.3090598893053383e-06,1.2789075979749805e-09,5.704167233546668e-10,1.7946898824987207e-09,2.650114575898298e-07,1.0821265106252358e-10,7.730551791427454e-08,4.082813434983732e-10,5.560562183541113e-10,6.277336671596933e-11,6.28986072983052e-11,2.031147705677664e-06,8.80948252751511e-11,3.5611639691309925e-11,8.774212190785918e-10,1.0811485964239491e-10,1.0948692600299657e-08,8.480743925711438e-11,0.3338529919167141,5.409679760668493e-15,9.405732705116807e-08,3.90558712238778e-05,1.1994185698624206e-06,1.633670005113595e-05
0.3607586027161847,400.0,0.06141711771987118,101325.0,0.3505203838615097,0.0019416027537056202,2.877894122677049e-05,0.1667342760799974,8.198590840086865e-05,0.2133906623259226,4.668570627394043e-05,6.615070634869085e-06,1.1168305189888267e-07,3.0508399855695373e-07,1.703063339583947e-05,8.695593220788441e-07,0.0047738737954064895,0.16672754130099302,0.07831347968279721,0.011215059333625016,8.057578593317747e-06,0.0006287462513597035,1.4539971492865361e-06,2.888791694487366e-06,0.00032273083440008697,5.836700535035328e-07,0.02350975694711519,3.0130235754313252e-05,0.003645261814732856,5.04205975598455e-05,0.002270371201065681,1.7752905412349535e-05,0.0005041250313289665,3.707861645388305e-06,1.9034571460698733e-09,8.515105729111735e-10,2.5428155877021594e-09,3.4757097713707e-07,1.2962326632208035e-10,1.0250171570273773e-07,3.280860503362955e-10,5.721433868542895e-10,8.891717215739483e-11,1.047787961579577e-10,2.70751791740564e-06,1.3529549272005265e-10,4.511962784008328e-11,1.0909472163502966e-09,1.5747522235027765e-10,1.3930730221720457e-08,1.2297250032698792e-10,0.33373949394708874,5.072896062739634e-14,1.1031914760113893e-07,3.967633881916302e-05,1.3312497514611565e-06,1.7919259552683246e-05
0.4635691232673378,450.0,0.05459289296563299,101325.0,0.3544003023645258,0.002263774825961205,3.370259951796101e-05,0.16671799880182814,9.97836857544788e-05,0.21208113843437396,4.8862175329495016e-05,6.1642485158882065e-06,1.813741723199124e-07,4.407254633104745e-07,2.1397969338081653e-05,1.172865850242614e-06,0.005355953176434935,0.1667122321827463,0.07918872614856308,0.01114117770698607,9.631552107283902e-06,0.0006550046321125273,1.7042155650597643e-06,3.281386514678163e-06,0.0003105667538639622,7.799888868271841e-07,0.0237470640771908,3.454438534641675e-05,0.003624410831016508,5.638230173436144e-05,0.0023386484953391816,1.9909283664586278e-05,0.0005060071555678525,4.1348521752455166e-06,2.806319628559526e-09,1.2539255427832971e-09,3.5502483688384413e-09,4.5467977398731787e-07,1.5444688401867922e-10,1.3541513542545198e-07,2.5157395513219435e-10,5.903208855799788e-10,1.2417393090199977e-10,1.71798415760994e-10,3.5749959391493318e-06,2.0460521558860295e-10,5.657812459608959e-11,1.3411353153901748e-09,2.2650299072388574e-10,1.753213682305908e-08,1.751069133953019e-10,0.33364044362069656,4.0390431706517026e-14,1.289222749159933e-07,4.010200703299349e-05,1.4755460627677366e-06,1.9633257804274205e-05
0.5865320208830332,500.0,0.049133539300987114,101325.0,0.3583603132283993,0.002622488316861352,3.923781045764102e-05,0.16670471140937826,0.00012039297763005967,0.21068404663446336,5.120033966717882e-05,5.8239214755083124e-06,2.8635453304255965e-07,6.244893913168968e-07,2.6591064480560157e-05,1.5598180606025534e-06,0.0059704565087172045,0.16670001572500295,0.08053986434144844,0.01105823744906063,1.1467055002152706e-05,0.0006836584379068104,1.9951287587184073e-06,3.7187348514933403e-06,0.00029872538266253047,1.0286174299619855e-06,0.023836067744187082,3.940060211617265e-05,0.0036048079504466296,6.27824903257159e-05,0.002401370773522067,2.2148249547055355e-05,0.0005073019786684241,4.5812106192643894e-06,4.084121092560967e-09,1.8137842781448985e-09,4.87211051836704e-09,5.952123869507785e-07,1.8267506086423598e-10,1.779318513920043e-07,1.848574587924536e-10,6.106434745783301e-10,1.7046483885078092e-10,2.74622780296391e-10,4.663127741607036e-06,3.034308714936285e-10,6.987819423842662e-11,1.62932949100468e-09,3.206121870540333e-10,2.1779967796879958e-08,2.4471342742074864e-10,0.3335596672916029,3.5973012155136437e-14,1.4954099721217147e-07,4.0389005196140646e-05,1.6311682123044374e-06,2.1458223520864968e-05
0.7349017905481235,550.0,0.04466681385441845,101325.0,0.3623427363871896,0.003028900962549308,4.56114461670286e-05,0.16669420369797985,0.00014497517907648746,0.2092608274488772,5.3830263192495675e-05,5.572031305951685e-06,4.4663684051595324e-07,8.772590328440071e-07,3.2823850684088344e-05,2.0592431878078252e-06,0.006633058475552331,0.1666900232730809,0.08212167838451677,0.010947424723165613,1.3635542759680005e-05,0.0007159865394211032,2.342364845961451e-06,4.215087460771848e-06,0.00028784926444055736,1.3501568227306556e-06,0.02373675427953929,4.489369923854224e-05,0.003588161201344814,6.982417189063698e-05,0.002460329687604262,2.4539180592443025e-05,0.0005085541505983591,5.062562427700678e-06,5.9194598169217695e-09,2.6091522862288756e-09,6.649167491082939e-09,7.822939706876488e-07,2.1540855205683276e-10,2.3510154934942106e-07,1.3264310350922483e-10,6.344647791846023e-10,2.3259845258613862e-10,4.3484132034933606e-10,6.057357673967661e-06,4.461785289822176e-10,8.551739098350499e-11,1.967539969925718e-09,4.514049288755389e-10,2.6914844506720507e-08,3.378734687969892e-10,0.33349220180108896,4.2441721350186134e-14,1.729662603726383e-07,4.046059656567514e-05,1.804021677058133e-06,2.3449502218666822e-05
0.9144230104838932,600.0,0.040944556386046084,101325.0,0.3672002150774353,0.0034920227171713783,5.2964966166120785e-05,0.16668447639743192,0.00017447729867439582,0.2078310698215255,5.676779062298973e-05,5.39675879765808e-06,6.884161916393285e-07,1.2259728242306887e-06,4.0379377609039395e-05,2.706062891029488e-06,0.007351864962147378,0.16668177767901282,0.08421897127593232,0.010883281268969648,1.6238404901247163e-05,0.0007522268927555278,2.7610714929662203e-06,4.787564159896682e-06,0.00027778800279129205,1.7681025804388508e-06,0.02347855335489031,5.114126514451797e-05,0.0035726053913739493,7.749411147972233e-05,0.002511007609825103,2.712940057452025e-05,0.0005094640910069738,5.582857159968623e-06,8.58275013129267e-09,3.744716207360147e-09,9.06094865310736e-09,1.0729466644001257e-06,2.535324613114809e-10,3.3360425959406927e-07,1.0096283490465108e-10,6.61938159906064e-10,3.1677949560042336e-10,6.842535796369922e-10,7.881482017691237e-06,6.518780293877951e-10,1.038185480260048e-10,2.3715233412593962e-09,6.338882699035812e-10,3.3143935819484436e-08,4.6317697491254154e-10,0.333434951162392,2.827465982554417e-14,1.994370964674123e-07,4.0335663706410665e-05,1.998711985147852e-06,2.5614500164353906e-05
1.1283399282716722,650.0,0.03779548190949053,101325.0,0.36440913253575424,0.004005668471437568,6.127841435721055e-05,0.1666782635302519,0.00020888086130836848,0.2064058529277758,5.999503662159777e-05,5.281518935325437e-06,1.0383018929646464e-06,1.6903557349887425e-06,4.92464298601552e-05,3.51932608585787e-06,0.008112332475073229,0.16667624019284227,0.0844228709399125,0.010114923861614573,1.9256726356491525e-05,0.0007919783741995393,3.255680514790507e-06,5.428440585797226e-06,0.0002690077417749343,2.298396817400216e-06,0.0232343022400125,5.811131905825396e-05,0.003558433734205564,8.580103020702895e-05,0.002553730911216756,2.985195023552881e-05,0.0005104113768894319,6.13863898887382e-06,1.2337698384403509e-08,5.333070459010868e-09,1.2285509852760833e-08,1.0199933601149958e-06,2.96895368717424e-10,4.4510162820856827e-07,9.6358481977896e-11,6.933702592386353e-10,4.283712119632535e-10,1.0604600140532186e-09,9.791632856438742e-06,9.395887277313496e-10,1.2448765663679672e-10,2.8438179764863393e-09,8.826854857164883e-10,4.0577940040072906e-08,6.264592450868479e-10,0.3333987886763085,9.750113316295099e-15,2.285901360337197e-07,3.991535082725693e-05,2.209685138639464e-06,2.790711341944452e-05
1.3839208789342532,700.0,0.035095605699469866,101325.0,0.3681185111147932,0.004576849178498634,7.075570674715271e-05,0.16667291817656524,0.00024934699955091145,0.20498355949400052,6.360294819956976e-05,5.213485158798452e-06,1.5438582969958063e-06,2.304608165298687e-06,5.967519436168989e-05,4.54199687417497e-06,0.008920284262339139,0.16667140180134193,0.08621411123758004,0.010006517220054604,2.277299496191049e-05,0.0008349821267099228,3.842659784344494e-06,6.147402413254668e-06,0.00026116777430332423,2.9728761902209547e-06,0.02287291203055613,6.600337307301528e-05,0.0035528090881989955,9.476983915262845e-05,0.0025864630010898546,3.27844023519346e-05,0.0005127866484545045,6.732941276661071e-06,1.7664138279541638e-08,7.564825380868107e-09,1.6658385791054118e-08,1.3104879158111995e-06,3.4626276426437067e-10,6.363914103962899e-07,9.220297744737318e-11,7.312809030552074e-10,5.773908754314003e-10,1.6246288208670144e-09,1.2453383866944424e-05,1.3388508081453604e-09,1.476789019738932e-10,3.396092776329329e-09,1.2214204684340593e-09,4.944570162225057e-08,8.374710956679729e-10,0.3333676365783484,4.237929523800589e-14,2.6049224654391106e-07,3.9345290665647445e-05,2.4460807552372945e-06,3.0341461671571815e-05
0.1680772851347438,300.0,0.24566846801638564,303975.0,0.3333673608384131,0.0008250647330751247,1.4033687877628704e-05,0.16695416431325524,3.767756852685539e-05,0.22352883128266013,5.768000762850343e-05,2.1185771766672672e-05,7.175285359875038e-09,4.648435502055178e-08,5.999815986746189e-06,2.2743196811171397e-07,0.002573608001957357,0.16694145483241335,0.07299351096898743,0.011551955460196692,3.6432759381049665e-06,0.0006901413152268617,8.61295010980388e-07,1.7263780999225239e-06,0.00046123684436731154,2.1800131403172808e-07,0.02325494042963193,1.7838640077035893e-05,0.004051076417032325,3.261305898296094e-05,0.0019198154460378953,1.2087514781847681e-05,0.0006326216825756905,3.6440762725968498e-06,3.923523840545656e-10,1.7507870591006408e-10,6.434769891997422e-10,1.717997046535672e-07,1.640582421381449e-10,3.6974313852096736e-08,8.027826694577634e-10,1.5152132730471314e-09,2.5532836562439787e-11,1.2385750643314991e-11,7.683001402175155e-07,1.7770738065805966e-11,2.4682190315960372e-11,6.453718148744193e-10,4.6796778468143543e-11,5.926147003641314e-09,2.3150707506256714e-11,0.334845001203623,1.4188822440656341e-14,7.567362627876359e-08,3.4218470573827534e-05,9.860865803222272e-07,1.386409043353895e-05
