train_R,train_RSE,test_R,test_RSE
0.9997637615949871,0.05131836661609298,0.9971077239452989,0.18162192433997024
0.9994626079432307,0.07740039829300088,0.9958324025122344,0.2180174650158063
0.999674877474914,0.06020341177133611,0.996977773147655,0.1856572579107387
0.9991112830181224,0.09953580050242222,0.9980290116232476,0.14993065331508693
0.9997394141982253,0.053898037059797115,0.9960800414496626,0.21144096841532328
0.9995786707869057,0.06853435979463307,0.9982544180274735,0.14109724235830706
0.999268738471881,0.09028881163283621,0.9962412276297721,0.20704817876882667
0.9996059278390094,0.06628045053614749,0.9976491539411209,0.1637421533121845
0.9995587739646798,0.07013392418277607,0.997547162711533,0.16725641034034824
0.9997328628187236,0.054571355791234274,0.9972603134332112,0.17676604375372892
